account_id,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
106636,,,,,,,,2465,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106639,,,,,,,,65,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106644,,,,,,,,140,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106647,,,,,,,,200809,3243,12669,4122,3677,5734,4429,6158,23569,,,,,,,,,,
106652,,,,,,,,17,Excluded,Excluded,Excluded,Excluded,53,Excluded,Excluded,Excluded,,,,,,,,,,
106659,,,,,,,,228,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106660,,,,,,,,246,259,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106663,,,,,,,,3388,2889,1312,1538,1189,1255,689,1142,2704,,,,,,,,,,
106671,,,,,,0,0,603712,172768,172851,171352,182336,196870,199164,187038,15623,,,,,,,,,,
106672,,,,,,,,56,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106677,,,,,,0,0,132326,75693,79746,73092,72158,63197,60083,95669,2564,,,,,,,,,,
106686,,,,,,,,199705,54403,55867,65708,97483,108619,96971,91872,18593,,,,,,,,,,
106698,,,,,,,,70,Excluded,Excluded,Excluded,11,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106701,,,,,,,,242,128,202,1041,Excluded,,,,,,,,,,,,,,
106726,,,,,,,,214059,156570,176971,192372,263053,271750,293276,279741,75416,,,,,,,,,,
106736,,,,,,,,705298,426353,487879,534212,568261,529828,591003,671722,248837,,,,,,,,,,
106775,,,,,,,,74374,Excluded,Excluded,Excluded,Excluded,3107,Excluded,Excluded,Excluded,,,,,,,,,,
106779,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106780,,,,,,,,39515,37082,34291,41141,40414,49213,48539,47038,18444,,,,,,,,,,
106794,,,,,,,,236,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106803,,,,,,,,440943,174775,142553,153896,177533,194133,192498,188820,40847,,,,,,,,,,
106804,,,,,,,,88064,2154,,,,,,,,,,,,,,,,,
106814,,,,,,,,6165,5614,508,1747,1289,53,67,214,357,,,,,,,,,,
106849,,,,,,,,52,109,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106850,,,,,,,,102,158,144,170,Excluded,Excluded,,,,,,,,,,,,,
106851,,,,,,,,891,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106852,,,,,,,,30,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106853,,,,,,,,147,115,95,124,76,91,126,251,51,,,,,,,,,,
106854,,,,,,,,3968,4237,4003,4184,3299,4933,4204,4434,1082,,,,,,,,,,
106856,,,,,,,,1528,326,261,233,268,Excluded,Excluded,,,,,,,,,,,,
106857,,,,,,,,39,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106858,,,,,,,,0,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106859,,,,,,,,312,280,295,438,261,277,448,536,135,,,,,,,,,,
106860,,,,,,,,42,,,,,,,,,,,,,,,,,,
106861,,,,,,,,35,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106862,,,,,,,,70,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106863,,,,,,,,69,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106865,,,,,,,,1848,1327,1225,1095,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106871,,,,,,,,12,Excluded,Excluded,Excluded,Excluded,134,64,Excluded,Excluded,,,,,,,,,,
106873,,,,,,,,49,Excluded,Excluded,159,81,124,Excluded,58,0,,,,,,,,,,
106874,,,,,,,,9,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106876,,,,,,,,136,124,130,205,105,194,349,138,12,,,,,,,,,,
106877,,,,,,,,261,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,
106882,,,,,,,,8,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106885,,,,,,,,102,Excluded,48,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106886,,,,,,,,36,Excluded,Excluded,50,Excluded,Excluded,75,72,Excluded,,,,,,,,,,
106887,,,,,,,,172,Excluded,445,91,159,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106888,,,,,,,,161,197,94,246,180,276,219,169,Excluded,,,,,,,,,,
106890,,,,,,,,5,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106891,,,,,,,,56,122,216,263,130,125,68,94,49,,,,,,,,,,
106892,,,,,,,,657,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,
106895,,,,,,,,9,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,
106896,,,,,,,,153096,127815,143222,163617,174508,178741,195578,195264,82689,,,,,,,,,,
